V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1056	0	3	0	100	744	287	0	0	0.00403225806451613	5.00513025851498	0.0327971598819604	2.22593021867193	0	0.244010869521785	16.5609208269192	0	100	1
SPNCRNA.1057	8	4	11	100	133	294	0.08	99.3017843289372	0.0300751879699248	37.3314978680215	0.548872375795938	7.87086378182642	2.66	0.730000259808597	10.4682488298291	3	105	1
SPNCRNA.1058	0	1	0	100	1285	176	0	0	0.000778210116731518	0.965970664678377	0.120791776113059	17.3080587281839	0	1.55217432305281	222.408554657164	0	100	1
SPNCRNA.1059	0	18	28	100	1137	300	0	0	0.0158311345646438	19.650748877758	0.00511285240857114	0.280011224227739	0	0.0581331318854538	3.18372761946939	1	99	1
SPNCRNA.1060	3	6	50	100	319	300	0.03	37.2381691233514	0.0188087774294671	23.346814497399	0.0994064108776846	2.23440263509104	1.595	0.317106450699814	7.12774440594043	1	102	1
SPNCRNA.1061	0	13	3	100	1147	300	0	0	0.011333914559721	14.0684742401502	0.00711390234765344	0.395564521747562	0	0.081596459927585	4.53712506444454	1	99	1
SPNCRNA.1062	0	0	3	100	523	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1063	2	122	12	100	3207	300	0.02	24.8254460822343	0.0380417835983785	47.2202123796786	0.00280644259324612	0.0671111675386065	0.525737704918033	0.0900026139654029	2.15225514296311	3	99	1
SPNCRNA.1064	0	1	1	100	1713	300	0	0	0.000583771161704612	0.724618974963056	0.120791776113059	17.3080587281839	0	2.0691631248167	296.487046013791	0	100	1
SPNCRNA.1065	0	0	0	100	817	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
