V4	Fisher_dis2_T316D_r1_pr_counts	Fisher_dis2_T316D_r1gb_counts	Fisher_dis2_T316D_r1term_counts	Fisher_dis2_T316D_r1pr_map	Fisher_dis2_T316D_r1gb_map	Fisher_dis2_T316D_r1term_map	Fisher_dis2_T316D_r1pr_density	Fisher_dis2_T316D_r1pr_densityRPKM	Fisher_dis2_T316D_r1gb_density	Fisher_dis2_T316D_r1gb_densityRPKM	Fisher_dis2_T316D_r1pause_index_CI_low	Fisher_dis2_T316D_r1pause_index_CI_high	Fisher_dis2_T316D_r1pause_index_scaled	Fisher_dis2_T316D_r1pause_index_CI_low_scaled	Fisher_dis2_T316D_r1pause_index_CI_high_scaled	Fisher_dis2_T316D_r1_ExpPR	Fisher_dis2_T316D_r1_ExpGB	Fisher_dis2_T316D_r1Fexact_Pval
SPNCRNA.478	4	31	3	100	488	300	0.04	14.229426739085	0.0635245901639344	22.5979625467026	0.0386981194862039	0.382738982869067	0.629677419354839	0.188846823092675	1.86776623640105	6	98	1
SPNCRNA.480	1	3	359	100	297	250	0.01	3.55735668477124	0.0101010101010101	3.59328958057701	0.0133674946082822	3.55733427163736	0.99	0.0397014589865981	10.5652827867629	1	100	1
SPNCRNA.486	0	2	12	100	604	300	0	0	0.0033112582781457	1.17793267707657	0.0514242900386907	4.05388820080272	0	0.310602711833692	24.4854847328485	0	100	1
SPNCRNA.487	12	30	33	100	251	300	0.12	42.6882802172549	0.119521912350598	42.5182073877041	0.19374047876227	0.811640161417344	1.004	0.486288601693297	2.03721680515753	11	101	1
SPNCRNA.488	3	1	3	100	274	300	0.03	10.6720700543137	0.00364963503649635	1.29830535940556	0.281109371130232	74.8083338953006	8.22	0.770239676896837	204.974834873124	0	103	1
SPNCRNA.491	284	64	300	100	160	300	2.84	1010.28929847503	0.4	142.29426739085	3.35677140400269	5.8760636672011	7.1	5.37083424640431	9.40170186752176	109	275	2.49210137135351e-24
SPNCRNA.493	2	2	30	100	135	300	0.02	7.11471336954248	0.0148148148148148	5.27015805151295	0.101199373606884	9.88148408788154	1.35	0.136619154369293	13.3400035186401	1	101	1
SPNCRNA.495	0	2	58	100	841	300	0	0	0.00237812128418549	0.845982564749403	0.0514242900386907	4.05388820080272	0	0.432478279225389	34.0931997687509	0	100	1
SPNCRNA.50	2	1	2	100	72	300	0.02	7.11471336954248	0.0138888888888889	4.94077317329339	0.143294171183347	55.6482554667983	1.44	0.10317180325201	40.0667439360948	1	101	1
SPNCRNA.500	2	4	143	100	117	300	0.02	7.11471336954248	0.0341880341880342	12.1619031957991	0.0638181358093923	3.14803144559117	0.585	0.0746672188969889	3.68319679134166	3	99	1
SPNCRNA.501	10	33	16	100	791	300	0.1	35.5735668477124	0.0417193426042984	14.8410582297662	0.140021578342549	0.639259131031375	2.3969696969697	1.10757068468956	5.05653972645818	4	106	1
SPNCRNA.503	30	6	13	100	109	300	0.3	106.720700543137	0.055045871559633	19.581779916172	1.9877302542478	13.3609196422393	5.45	2.1666259771301	14.5634024100409	6	124	0.317077377373653
SPNCRNA.504	1	9	7	100	311	300	0.01	3.55735668477124	0.0289389067524116	10.2946013385663	0.00526992812214453	0.847902870266008	0.345555555555556	0.0163894764598695	2.63697792652728	2	99	1
SPNCRNA.505	0	0	2	100	664	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.506	0	7	6	100	759	300	0	0	0.00922266139657444	3.28082961704858	0.0134151780994594	0.782741335671289	0	0.101821201774897	5.94100673774508	0	100	1
SPNCRNA.51	0	2	1	100	81	300	0	0	0.0246913580246914	8.78359675252158	0.0514242900386907	4.05388820080272	0	0.0416536749313395	3.28364944265021	2	98	1
SPNCRNA.511	5	45	126	100	1223	300	0.05	17.7867834238562	0.0367947669664759	13.0892110232793	0.0388580920456653	0.291842519643574	1.35888888888889	0.475234465718487	3.56923401524092	3	102	1
SPNCRNA.512	0	2	1	100	112	300	0	0	0.0178571428571429	6.35242265137722	0.0514242900386907	4.05388820080272	0	0.0575952048433336	4.54035478489905	1	99	1
