V4	Fisher_dis2Del_r1_pr_counts	Fisher_dis2Del_r1gb_counts	Fisher_dis2Del_r1term_counts	Fisher_dis2Del_r1pr_map	Fisher_dis2Del_r1gb_map	Fisher_dis2Del_r1term_map	Fisher_dis2Del_r1pr_density	Fisher_dis2Del_r1pr_densityRPKM	Fisher_dis2Del_r1gb_density	Fisher_dis2Del_r1gb_densityRPKM	Fisher_dis2Del_r1pause_index_CI_low	Fisher_dis2Del_r1pause_index_CI_high	Fisher_dis2Del_r1pause_index_scaled	Fisher_dis2Del_r1pause_index_CI_low_scaled	Fisher_dis2Del_r1pause_index_CI_high_scaled	Fisher_dis2Del_r1_ExpPR	Fisher_dis2Del_r1_ExpGB	Fisher_dis2Del_r1Fexact_Pval
SPAC11D3.02c	12	15	26	100	450	300	0.12	76.293460251743	0.0333333333333333	21.1926278477064	0.352071156876083	1.80594285652979	3.6	1.58432020594238	8.12674285438406	3	109	1
SPAC11D3.03c	5	26	2	100	1284	300	0.05	31.7889417715596	0.0202492211838006	12.8740262626254	0.0649022633245518	0.526081743416158	2.46923076923077	0.833345061087245	6.75488958546347	2	103	1
SPAC11D3.04c	0	59	10	100	1836	300	0	0	0.0321350762527233	20.430801356449	0.00154634432682249	0.0824350588536129	0	0.028390881840461	1.51350768055233	3	97	1
SPAC11D3.05	24	392	35	100	1753	300	0.24	152.586920503486	0.223616657159156	142.170737871664	0.0396039768290572	0.0938629419527043	1.07326530612245	0.694257713813372	1.64541737243091	22	102	1
SPAC11D3.06	8	78	33	100	1521	300	0.08	50.8623068344953	0.0512820512820513	32.6040428426252	0.0459229986225795	0.219574638240483	1.56	0.698488809049435	3.33973024763774	5	103	1
SPAC11D3.07c	27	233	3	100	4030	300	0.27	171.660285566422	0.0578163771712159	36.7584289467662	0.0761427985365933	0.175170384034265	4.66995708154506	3.06855478102471	7.05936647658087	6	121	1.83422326785892e-05
SPAC11D3.08c	5	145	42	100	3214	300	0.05	31.7889417715596	0.0451151213441195	28.6832393085012	0.0124899506343975	0.0870850283500069	1.10827586206897	0.401427013389535	2.79891281116922	4	101	1
SPAC11D3.09	0	13	2	100	1729	300	0	0	0.0075187969924812	4.78029199572324	0.00711390234765344	0.395564521747562	0	0.122999371590928	6.83931058101535	0	100	1
SPAC11D3.10	0	104	1	100	4126	300	0	0	0.0252060106640814	16.0254481058759	0.000875817578746582	0.0464543008536173	0	0.036136233299084	1.91670445322025	2	98	1
SPAC11D3.11c	1	66	14	100	2151	300	0.01	6.35778835431192	0.0306834030683403	19.5078582698552	0.000780207771224561	0.100578560278423	0.325909090909091	0.0167822691590403	2.16344483158888	3	98	1
SPAC11D3.13	0	25	30	100	920	300	0	0	0.0271739130434783	17.2765987888911	0.00366831680942558	0.19871450933181	0	0.0337485146467153	1.82817348585266	2	98	1
SPAC11D3.14c	5	271	8	100	4308	300	0.05	31.7889417715596	0.0629062209842154	39.9944439187217	0.00673336620268007	0.0462087317724828	0.794833948339483	0.290073416011457	1.99067216475856	6	99	1
SPAC11D3.15	2	218	9	100	3921	300	0.02	12.7155767086238	0.0555980617189492	35.3480709319051	0.00157866846357044	0.0373125537128079	0.359724770642202	0.0618995904565969	1.4630252310792	5	97	1
SPAC11D3.16c	6	97	54	100	945	300	0.06	38.1467301258715	0.102645502645503	65.259838134207	0.0244859902135639	0.146163411576945	0.584536082474227	0.231392607518178	1.38124423940213	9	97	1
SPAC11D3.17	0	102	17	100	3291	300	0	0	0.0309936189608022	19.7050869686969	0.000893028017049197	0.047373298583352	0	0.0293895520410891	1.55905525637811	3	97	1
SPAC11D3.18c	2	100	6	100	2031	300	0.02	12.7155767086238	0.0492368291482029	31.303733896169	0.00341511778310214	0.0821436396003927	0.4062	0.0693610421748045	1.66833732028398	4	98	1
SPAC11D3.19	4	14	4	100	1210	300	0.04	25.4311534172477	0.0115702479338843	7.35611875705511	0.0795907815169477	0.92609145582224	3.45714285714286	0.963048456355067	11.2057066154491	1	103	1
SPAC11E3.01c	9	268	43	100	3812	300	0.09	57.2200951888072	0.0703043022035677	44.6979873807868	0.0161960000340886	0.0671029559295616	1.28014925373134	0.617391521299458	2.55796468003489	7	102	1
SPAC11E3.02c	5	233	20	100	3850	300	0.05	31.7889417715596	0.0605194805194805	38.477004845576	0.00782040080222854	0.0538291966660428	0.82618025751073	0.301085430885799	2.07242407164265	5	100	1
SPAC11E3.03	1	5	15	100	987	300	0.01	6.35778835431192	0.00506585612968592	3.22076411059368	0.00883974757390515	1.74105855180368	1.974	0.0872483085544438	17.1842479063023	0	101	1
SPAC11E3.04c	0	36	14	100	714	300	0	0	0.0504201680672269	32.0560757360265	0.00254044356681343	0.136449384104687	0	0.0181387670670479	0.974248602507467	4	96	1
SPAC11E3.05	3	185	1	100	3997	300	0.03	19.0733650629357	0.0462847135351514	29.4268412696448	0.00414736058198782	0.0522717030701393	0.648162162162162	0.165770002462053	2.08929997171347	4	99	1
SPAC11E3.06	1	28	15	100	1847	300	0.01	6.35778835431192	0.0151597184623714	9.63822814947123	0.00180589559329714	0.244217113716604	0.659642857142857	0.0333548916081982	4.51069009034568	1	100	1
SPAC11E3.07	22	115	80	100	1208	300	0.22	139.871343794862	0.0951986754966887	60.5253030418767	0.117936732732468	0.307633595941428	2.31095652173913	1.42467573140822	3.71621383897245	10	112	1
SPAC11E3.08c	8	48	11	100	1531	300	0.08	50.8623068344953	0.031352057478772	19.9329745922255	0.0729562096188785	0.365667806828535	2.55166666666667	1.11695956926503	5.59837412254487	3	105	1
SPAC11E3.09	0	66	8	100	1333	300	0	0	0.0495123780945236	31.4789220843651	0.00138178273757893	0.0735710521596386	0	0.0184191638919272	0.980702125287983	4	96	1
SPAC11E3.10	7	68	43	100	1069	300	0.07	44.5045184801834	0.0636108512628625	40.4424329366894	0.0433176968143683	0.232313875307708	1.10044117647059	0.463066178945597	2.4834353270394	6	101	1
SPAC11E3.11c	3	240	15	100	3255	300	0.03	19.0733650629357	0.0737327188940092	46.8777021516086	0.00320405863994427	0.0401872648569105	0.406875	0.104292108730186	1.30809547109244	7	96	1
SPAC11E3.12	1	42	0	100	2724	300	0.01	6.35778835431192	0.0154185022026432	9.80275737448974	0.00121663271361786	0.160036851469115	0.648571428571428	0.0331410751189504	4.35940383401869	1	100	1
SPAC11E3.13c	43	1364	205	100	2103	300	0.43	273.384899235412	0.648597242035188	412.364399205014	0.0229794054661713	0.0430965734188584	0.662969208211144	0.483256896953583	0.906320938998593	56	87	1
