V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1071.13	5	429	41	100	3378	300	0.05	23.8480327042381	0.126998223801066	60.5731558917594	0.00426717723758118	0.0290868655103425	0.393706293706294	0.144145247085492	0.98255431693937	11	94	1
SPAC1093.01	24	947	67	100	5223	300	0.24	114.470556980343	0.181313421405323	86.4793680678289	0.0165178273871354	0.0385548360548027	1.3236747624076	0.862726124430079	2.01371908714234	19	105	1
SPAC1093.02	15	111	82	100	992	300	0.15	71.5440981127144	0.111895161290323	53.3695893179523	0.0757416030516043	0.237249636054382	1.34054054054054	0.751356702271915	2.35351638965947	11	104	1
SPAC1093.03	14	197	26	100	3353	300	0.14	66.7744915718668	0.0587533552042947	28.0230387279148	0.0396502483908187	0.125020532304781	2.38284263959391	1.32947282854415	4.19193844817931	6	108	1
SPAC1093.04c	4	235	9	100	4949	300	0.04	19.0784261633905	0.0474843402707618	22.648161994326	0.00540382943888812	0.0472880583831526	0.842382978723404	0.267435518930573	2.34028600938222	4	100	1
SPAC1093.05	22	192	52	100	2479	300	0.22	104.931343898648	0.0774505849132715	36.9408816394814	0.0717826880322415	0.181232287677685	2.84052083333333	1.77949283631927	4.49274841152981	8	114	0.621987232649373
SPAC1093.06c	1	689	14	100	12942	300	0.01	4.76960654084763	0.0532375212486478	25.3922029566065	7.56627510968815e-05	0.00944644982927057	0.187837445573295	0.00979227324695841	1.2225595369042	5	96	1
SPAC1093.07	0	51	8	100	1791	300	0	0	0.0284757118927973	13.5817941699179	0.00178997256498559	0.0955981914009031	0	0.0320584086388919	1.71216360799017	2	98	1
SPAC10F6.01c	34	2093	123	100	4905	300	0.34	162.166622388819	0.42670744138634	203.522660346464	0.0113931798190183	0.0230452369370958	0.796798853320593	0.55883547012285	1.13036887176455	40	94	1
SPAC10F6.02c	5	265	33	100	3591	300	0.05	23.8480327042381	0.0737956001113896	35.197597697706	0.00688446166530071	0.0472652517289875	0.677547169811321	0.247221018400949	1.69729518958794	7	98	1
SPAC10F6.03c	45	615	97	100	2113	300	0.45	214.632294338143	0.291055371509702	138.821960370151	0.0533953743959121	0.099949189476566	1.54609756097561	1.12824426098562	2.11192637363984	32	113	1
SPAC10F6.04	0	119	5	100	2665	300	0	0	0.0446529080675422	21.2976802386817	0.000765213614500503	0.0405539692697729	0	0.0203929428264384	1.08076328103945	4	96	1
SPAC10F6.05c	1	69	34	100	2025	300	0.01	4.76960654084763	0.0340740740740741	16.251992657703	0.000746725053376051	0.096114337170904	0.293478260869565	0.015121182330865	1.94631532771081	3	98	1
SPAC10F6.06	44	287	238	100	890	300	0.44	209.862687797296	0.32247191011236	153.806413171154	0.110141953693644	0.212727851142771	1.36445993031359	0.980263387873435	1.89327787517066	35	109	1
SPAC10F6.07c	7	71	24	100	366	300	0.07	33.3872457859334	0.193989071038251	92.5251542076998	0.0415565802209914	0.222093986179129	0.360845070422535	0.152097083608829	0.812863989415611	17	90	1
SPAC10F6.08c	49	116	11	100	983	300	0.49	233.710720501534	0.118006103763988	56.284268437266	0.298282851891219	0.596990734967798	4.1523275862069	2.93212043409068	5.86841892473346	15	134	1.10061248288853e-07
SPAC10F6.09c	18	430	74	100	3689	300	0.18	85.8529177352573	0.116562754133912	55.5958474536319	0.0253175036832549	0.0683195683150141	1.54423255813953	0.933962710875272	2.52030887514087	12	106	1
SPAC10F6.10	1	84	22	100	1670	300	0.01	4.76960654084763	0.0502994011976048	23.9908352952815	0.000614803256201382	0.0786573815564277	0.198809523809524	0.0102672143785631	1.31357827199234	4	97	1
SPAC10F6.11c	7	229	27	100	2545	300	0.07	33.3872457859334	0.0899803536345776	42.9170883243264	0.0132312864940764	0.0669070016060827	0.777947598253275	0.336736241274243	1.70278319087481	8	99	1
