V4	Isk1as_DMSOr2_pr_counts	Isk1as_DMSOr2gb_counts	Isk1as_DMSOr2term_counts	Isk1as_DMSOr2pr_map	Isk1as_DMSOr2gb_map	Isk1as_DMSOr2term_map	Isk1as_DMSOr2pr_density	Isk1as_DMSOr2pr_densityRPKM	Isk1as_DMSOr2gb_density	Isk1as_DMSOr2gb_densityRPKM	Isk1as_DMSOr2pause_index_CI_low	Isk1as_DMSOr2pause_index_CI_high	Isk1as_DMSOr2pause_index_scaled	Isk1as_DMSOr2pause_index_CI_low_scaled	Isk1as_DMSOr2pause_index_CI_high_scaled	Isk1as_DMSOr2_ExpPR	Isk1as_DMSOr2_ExpGB	Isk1as_DMSOr2Fexact_Pval
SPAC11D3.02c	123	438	234	100	450	300	1.23	148.375093684396	0.973333333333333	117.413353267869	0.22872989060105	0.344571845883898	1.26369863013699	1.02928450770473	1.55057330647754	109	114	1
SPAC11D3.03c	14	144	61	100	1284	300	0.14	16.8882220453784	0.11214953271028	13.5286157906903	0.0538583911942726	0.172311135749506	1.24833333333333	0.69154174293446	2.21247498302365	11	103	1
SPAC11D3.04c	0	384	47	100	1836	300	0	0	0.209150326797386	25.2298368558408	0.000236830540259419	0.0125014921186797	0	0.00434820871916293	0.229527395298958	17	83	1
SPAC11D3.05	240	3026	102	100	1753	300	2.4	289.512377920773	1.72618368511124	208.229809751915	0.069385539870201	0.0906367944251919	1.39035029742234	1.21632851392462	1.58886300627361	215	125	1
SPAC11D3.06	12	657	46	100	1521	300	0.12	14.4756188960386	0.431952662721893	52.106517722427	0.00984160522146694	0.0330862952610782	0.277808219178082	0.149690815418512	0.503242550921	33	79	1
SPAC11D3.07c	132	1242	30	100	4030	300	1.32	159.231807856425	0.30818858560794	37.1768376114144	0.0884456609740234	0.1276318987922	4.28309178743961	3.56436013725314	5.14356552132564	54	178	1.99672682426028e-22
SPAC11D3.08c	16	573	282	100	3214	300	0.16	19.3008251947182	0.178282514001245	21.5062477375807	0.0164040201390765	0.0467941950919381	0.897452006980803	0.527225207269919	1.50396543025489	17	99	1
SPAC11D3.09	1	106	29	100	1729	300	0.01	1.20630157466989	0.0613071139386929	7.39548680827114	0.000488283288308589	0.0621109685935455	0.16311320754717	0.0084424180548555	1.0738986469824	5	96	1
SPAC11D3.10	2	264	0	100	4126	300	0.02	2.41260314933977	0.0639844886088221	7.71845893632695	0.00130508633068251	0.0307664633569597	0.312575757575758	0.0538478620039603	1.26942427810816	6	96	1
SPAC11D3.11c	9	347	31	100	2151	300	0.09	10.856714172029	0.161320316132032	19.4600951376314	0.0125423242826769	0.0516790579722717	0.557896253602306	0.269785395320379	1.11161653698356	15	94	1
SPAC11D3.13	9	178	139	100	920	300	0.09	10.856714172029	0.193478260869565	23.3393130751348	0.0242410835048305	0.10166721397268	0.465168539325843	0.22301796824444	0.93533836854866	17	92	1
SPAC11D3.14c	26	876	6	100	4308	300	0.26	31.363840941417	0.203342618384401	24.5292520754601	0.0196732695876428	0.0444424809907441	1.2786301369863	0.847524453835651	1.91458208108126	21	105	1
SPAC11D3.15	99	553	16	100	3921	300	0.99	119.423855892319	0.14103545014027	17.0131285588484	0.143684844586582	0.222851446786145	7.01951175406872	5.63388275623987	8.73800522848474	24	175	1.76108297994188e-31
SPAC11D3.16c	78	951	217	100	945	300	0.78	94.0915228242511	1.00634920634921	121.396063228684	0.0646495501708536	0.103910364475829	0.775078864353312	0.610938249114567	0.981952944296586	89	89	1
SPAC11D3.17	15	1133	55	100	3291	300	0.15	18.0945236200483	0.34427225767244	41.5296166545421	0.00766349371689787	0.0224779589231265	0.435701676963813	0.252205578223109	0.739749628160095	29	86	1
SPAC11D3.18c	18	695	62	100	2031	300	0.18	21.713428344058	0.34219596258001	41.2791528505943	0.0157255280037562	0.0420996643932543	0.526014388489209	0.319385473756289	0.855044183826995	30	88	1
SPAC11D3.19	78	128	10	100	1210	300	0.78	94.0915228242511	0.105785123966942	12.7608761617971	0.45538336538133	0.814850057431353	7.3734375	5.5101387211141	9.85968569491938	17	161	2.46804294530262e-23
SPAC11E3.01c	95	892	50	100	3812	300	0.95	114.598649593639	0.233997901364113	28.2272036884979	0.0856868142963012	0.132239742981631	4.05986547085202	3.266381360975	5.04097900245979	36	159	4.09757337858132e-16
SPAC11E3.02c	27	1344	66	100	3850	300	0.27	32.5701425160869	0.349090909090909	42.1108913339306	0.0134500266267057	0.0297925032422268	0.7734375	0.517826025128168	1.14701137482573	32	95	1
SPAC11E3.03	14	60	79	100	987	300	0.14	16.8882220453784	0.060790273556231	7.33314027154946	0.124721449762736	0.429378291012229	2.303	1.2310007091582	4.2379637322907	6	108	1
SPAC11E3.04c	111	266	111	100	714	300	1.11	133.899474788357	0.372549019607843	44.9406468994664	0.332315730773927	0.523689146517708	2.97947368421053	2.37273431772584	3.73914050613644	57	154	1.40228036666426e-08
SPAC11E3.05	13	808	55	100	3997	300	0.13	15.6819204707085	0.202151613710283	24.3855809940773	0.00890571093230564	0.0284485053911094	0.643081683168317	0.355961265964257	1.13708676048264	19	94	1
